linha_original,acao,motivo,texto
583,mantida,conduta_sem_medicamento,ponto
584,mantida,"dose_nao_identificada,via_nao_identificada",(Idade) Idade ≥ 65 anos
585,mantida,conduta_sem_medicamento,ponto Considerada para todo paciente com escore CURB-65 ≥ 2. Indicações relativas para internação: DPOC DM ICC Neoplasias DRC intolerância a medicação oral baixo nível socioeconômico acesso à rede de saúde. Critérios de Internação
586,mantida,,Haloperidol (5mg/1mL) Fazer 1mL IM Repetir a cada 30 minutos(dose máxima de
587,mantida,"dose_nao_identificada,via_nao_identificada",mg/dia)
588,mantida,,"Prometazina (50mg/2mL) Fazer 2mL IM OBS: Na intoxicação alcoólica, fazer somente haloperidol Conduta no PS"
589,mantida,via_nao_identificada,"Diazepam 5 mg - cp Tomar 01 cp OU Clonazepam 0,5 mg - cp Tomar 01 cp OU Alprazolam 0,5 mg - cp Tomar 01 cp Conduta no PS"
590,mantida,via_nao_identificada,"Ansiodorom (passiflora+valeriana+avena sativa) Tomar 02 cp, 2 vezes ao dia Receita de Alta Orientações Reavaliação com Psiquiatra/Psicólogo."
591,mantida,,Dipirona 1 g - EV lento
592,mantida,,"Cetoprofeno 100 mg + 100 ml SF 0,9 % - EV em 30 min"
593,mantida,,"Tramadol 50 mg + 100 ml SF 0,9 % - EV em 30 min Se dor muito intensa"
594,mantida,,Morfina (1 mg/1ml): 1 ampola + 9 ml de AD - 4 ml EV Antiemético
595,mantida,,"Ondansetrona 8 mg - EV (30 min antes dos opioides) OU Metoclopramida 10 mg + 100 ml SF 0,9 % - EV em"
596,fundida_na_linha_anterior,fragmento,min Antibiótico Se suspeita de ITU associada
597,mantida,,Ceftriaxone 2g - EV
