linha_original,acao,motivo,texto
768,mantida,,"Paciente com controle glicêmico insatisfatório mesmo após terapia tripla oral. Relata cansaço, visão embaçada ocasional, glicemias em jejum frequentemente acima de 180 mg/dL. Adere parcialmente à dieta e medicações. O – Objetivo HbA1c: IMC:"
769,mantida,,Metformina 850 mg Tomar 1 comprimido VO 2x/dia Insulina NPH – frasco 100 UI/mL Iniciar com 10 UI SC às 21h
770,mantida,conduta_sem_medicamento,➡️ Aumentar 2 UI a cada 3 dias se glicemia de jejum >130 mg/dL
771,mantida,conduta_sem_medicamento,➡️ Reduzir 2–4 UI se glicemia <70 mg/dL ou hipoglicemia noturna Realizar rodízio de aplicação (abdome preferencial) Orientações adicionais (não farmacológicas): Glicemia capilar em jejum por 7 dias Anotar valores em papel ou caderneta Volta
772,mantida,,"Metformina 500 mg VO, 1 comprimido 2x/dia após as principais refeições"
773,mantida,via_nao_identificada,"→ Aumentar gradualmente até 850–1000 mg 2x/dia conforme tolerância Justificativa: Alta eficácia, baixo risco de hipoglicemia, custo baixo ✅ Paciente com sobrepeso/obesidade e HbA1c <7,5%"
774,mantida,,Metformina 500 mg VO 2x/dia Associar estilo de vida + reavaliar em 3 meses OU (se disponível):
775,mantida,via_nao_identificada,iSGLT2 (Dapagliflozina 10 mg)
776,mantida,,"AR GLP-1 (Liraglutida 0,6–1,8 mg SC/dia) (mais comum em nível secundário, mas deve ser solicitado conforme protocolo clínico estadual) ✅ Paciente com HbA1c ≥7,5% (com ou sem obesidade) Terapia dupla inicial recomendada:"
777,mantida,,Metformina 850 mg VO 2x/dia
778,mantida,via_nao_identificada,iSGLT2 (Empagliflozina 10 mg ou Dapagliflozina 10 mg) → onde disponível Sulfonilureia
779,mantida,via_nao_identificada,Gliclazida MR 30–60 mg/dia
780,mantida,via_nao_identificada,"Glimepirida 1–4 mg/dia Evitar sulfonilureias em pacientes com risco de hipoglicemia (idosos, renal crônico, má nutrição) Fármaco Disponível no SUS Observações Metformina ✅ Sim"
781,mantida,,500/850 mg Glibenclamida ✅ Sim Maior risco de hipoglicemia Gliclazida MR ✅ Sim Menor risco de hipoglicemia Insulina NPH ✅ Sim Início com 10 UI à noite Insulina Regular ✅ Sim Para hiperglicemia aguda Dapagliflozina ☑️* Alguma oferta PCDT esp
782,mantida,,"Sinvastatina 40 mg – 1 comprimido à noite, via oral. Se alvo não atingido após 3 meses: Associar"
783,mantida,,"Ezetimiba 10 mg – 1 comprimido à noite, via oral."
784,mantida,via_nao_identificada,2. Opção – Hipertrigliceridemia (> 500 mg/dL):
785,mantida,,"Fenofibrato 160 mg – 1 comprimido ao dia, via oral, após a refeição principal. Considerar redução de álcool, carboidratos simples e reavaliar em 8–12 semanas."
786,mantida,via_nao_identificada,"Ômega‑3 (EPA/DHA ≥ 2 g/dia) – disponível comercialmente ou orientar consumo alimentar (peixes de água fria, linhaça, chia). Educação e estilo de vida: Dieta hipolipemiante e hipoglicídica, conforme orientação nutricional. Atividade física r"
787,mantida,conduta_sem_medicamento,", salvo se triglicerídeos > 440 mg/dL (quando exigir jejum) Fazer rastreamento oportunístico em adultos ≥ 35 anos (homens) e ≥ 45 anos (mulheres) com fatores de risco (tabagismo, hipertensão, obesidade, diabetes, história familiar precoce);"
788,fundida_na_linha_anterior,fragmento,": indicado especialmente para triglicerídeos >500 mg/dL (previne pancreatite); Colestiramina : alternativa em crianças ou mulheres em idade fértil com contraindicações a outras drogas; Ácido nicotínico : pouco usado devido aos efeitos adversos, opção rara. Novas Terapias e Panorama Futuro (2025) Inibidores de PCSK9 inclisiran ácido bempedoico em evidência internacional (AACE 2025); ainda aguardando incorporação no SUS via CONITEC. Principais Inibidores de PCSK9 aprovados Alirocumabe (Praluent®) Tipo: anticorpo monoclonal. Via: subcutânea."
789,mantida,,"Dose: geralmente 75 mg a cada 2 semanas ou 150 mg conforme resposta. Indicação: hipercolesterolemia familiar, alto risco CV. Evolocumabe (Repatha®) Tipo: anticorpo monoclonal. Via: subcutânea."
790,mantida,via_nao_identificada,Dose: 140 mg a cada 2 semanas ou 420 mg 1x/mês.
791,mantida,via_nao_identificada,Losartana 50 mg – tomar
792,mantida,,1 comprimido VO a cada 12 horas Pode aumentar gradualmente até
793,mantida,via_nao_identificada,"100 mg/dia conforme PA e tolerância. ⚠️ Monitorar creatinina e potássio 2–4 semanas após início ou ajuste. ⚠️ Suspender se creatinina aumentar >30% ou K⁺ >5,5 persistente."
794,mantida,,Enalapril 10 mg – VO a cada 12 horas
795,mantida,via_nao_identificada,(pode ajustar até 40 mg/dia)
796,mantida,,"Dapagliflozina 10 mg – VO 1x ao dia pela manhã ⚠️ Manter mesmo com leve queda da TFG. ⚠️ Suspender temporariamente em jejum prolongado, cirurgias ou infecção grave."
797,mantida,,Empagliflozina 10 mg – VO 1x ao dia
798,mantida,,Finerenona 10 mg – VO 1x/dia se TFG 25–60
799,mantida,,Finerenona 20 mg – VO 1x/dia se TFG ≥60 ⚠️ Iniciar apenas se potássio normal ⚠️ Monitorar K⁺ em 4 semanas
800,mantida,conduta_sem_medicamento,"0,25 mg SC 1x/semana por 4 semanas → 0,5 mg/semana por 4 semanas → 1 mg/semana manutenção ⚠️ Aplicar no mesmo dia da semana ⚠️ Pode causar náuseas iniciais"
801,mantida,via_nao_identificada,Sulfato ferroso 300 mg
802,mantida,,"(≈60 mg ferro elementar) – VO 8/8h Administrar em jejum ou 1h antes/2h após refeições. Evitar leite, café, chá ou antiácidos próximos. Associar fonte de vitamina C (ex.: suco cítrico). ⚠️ Pode escurecer fezes e causar constipação. Se ferro "
803,mantida,via_nao_identificada,Sacarato de hidróxido férrico 100 mg
804,mantida,,"+ SF 0,9% 100 mL EV em 15 min, 1x/semana por 4–12 semanas"
805,mantida,,"6. Eritropoetina (se Hb baixa após ferro) Eritropoetina 4.000 UI 50–100 UI/kg SC , até 3x/semana Meta Hb:"
806,mantida,,"10–11,5 g/dL ⚠️ Monitorar PA e estoques de ferro"
807,mantida,"dose_nao_identificada,via_nao_identificada",7. Acidose metabólica
808,mantida,via_nao_identificada,Bicarbonato de sódio 500 mg – tomar
809,mantida,,2 cápsulas VO 2x/dia Meta: HCO₃⁻ ≥18 mEq/L ⚠️ Monitorar PA e edema
810,mantida,,"Carbonato de cálcio 500–1.000 mg – VO junto às refeições, 2–3x/dia ⚠️ Evitar se hipercalcemia"
811,mantida,,"Ceftriaxona 500 mg: IM, dose única."
812,mantida,via_nao_identificada,Azitromicina 500 mg:
813,mantida,,"2 comprimidos via oral, dose única. Segunda Opção:"
814,mantida,via_nao_identificada,Doxiciclina 100 mg:
815,mantida,,"1 comprimido via oral, a cada 12 horas, por 7 dias. >>> Gonorreia:"
816,mantida,,"2 comprimidos via oral, dose única. >>> Clamídia:"
817,mantida,,"2 comprimidos via oral, dose única."
818,mantida,,"1 comprimido via oral, a cada 12 horas, por 7 dias Gonorreia (Neisseria gonorrhoeae)"
819,mantida,,"Ceftriaxona 500 mg: Via intramuscular, dose única."
820,mantida,,"Ciprofloxacina 500 mg: Via oral, dose única (não recomendada para menores de 18 anos). Tratamento Alternativo:"
821,mantida,,"Cefotaxima 1.000 mg: Via intramuscular, dose única."
822,mantida,,"Ofloxacina 400 mg: Via oral, dose única."
823,mantida,,"Cefixima 400 mg: Via oral, dose única."
824,mantida,,"Espectrinomicina 2 g: Via intramuscular, dose única."
825,mantida,,"Ampicilina 2 ou 3 g + Probenecida 1 g: Via oral, dose única."
826,mantida,via_nao_identificada,"Tianfenicol 2,5 g:"
827,mantida,,"Via oral, duas doses de 1,25 g a cada 12 horas. Tratamento para Gestantes: Primeira Escolha:"
828,mantida,,"Ceftriaxona 500 mg IM, dose única. Segunda Escolha:"
829,mantida,,"Espectrinomicina 2 g: IM, Dose única."
830,mantida,,"Cefixima 400 mg: via oral, dose única. Herpes Genital (Herpes simplex vírus tipo 1 e 2)"
831,mantida,,Aciclovir 200 mg VO:
832,mantida,via_nao_identificada,"1 cp, 5 vezes ao dia (intervalos de 4 horas durante vigília), por 7 a 10 dias;"
833,mantida,,Aciclovir 400 mg VO:
834,mantida,via_nao_identificada,"1 cp, 3 vezes ao dia, por 7 a 10 dias. Recidivas:"
835,mantida,via_nao_identificada,"2 cp, a cada 8 horas, por 5 dias;"
836,mantida,via_nao_identificada,"1 cp, a cada 12 horas, por 5 dias. Terapia Supressiva (opcional, em casos de recorrência frequente):"
837,mantida,via_nao_identificada,"1 cp, a cada 12 horas, por até 6 meses com reavaliação periódica. Sintomáticos:"
838,mantida,,Paracetamol 750–1.000 mg VO 6/6h PRN (se febre ou algia local);
839,mantida,,"Dipirona 500–1.000 mg VO 6/6h PRN , alternativa analgésica. Papilomavírus Humano (HPV) – verrugas genitais"
840,mantida,,"Metronidazol 2 g: Via oral, dose única;"
841,mantida,,"Metronidazol 400 a 500 mg: Via oral, a cada 12 horas, por 7 dias;"
842,mantida,,"Metronidazol 250 mg: Via oral, a cada 8 horas, por 7 dias;"
843,mantida,,"Secnidazol 2 g: Via oral, dose única;"
844,mantida,,"Tinidazol 2 g: Via oral, dose única. Tratamento para Gestantes e Nutrizes:"
845,mantida,,"Metronidazol 400 a 500 mg: Via oral, a cada 12 horas, por 7 dias. Hepatites Virais (principalmente B e C, transmissão sexual possível)"
846,mantida,dose_nao_identificada,"Vacina contra hepatite A – 1ª dose via IM (deltoide), reforço em 6 meses, se não imunizado previamente (importante em portadores de HBV ou HCV para prevenção de coinfecção). Vacina contra hepatite B – apenas se diagnóstico for de hepatite C"
847,mantida,,"conforme necessidade (paracetamol 500–750 mg VO a cada 6–8h, máximo 3 g/dia). Evitar álcool e fármacos hepatotóxicos (ex.: alguns anti-inflamatórios e medicamentos fitoterápicos). Manter dieta equilibrada e hidratação adequada. Encaminhamen"
848,mantida,conduta_sem_medicamento,1. Confirmação Diagnóstica HBsAg reagente confirmado por teste de repetição - Anti-HBc total reagente - Anti-HBs não reagente (infecção ativa) Anti-HCV reagente - HCV-RNA detectável (confirma infecção ativa)
849,mantida,"dose_nao_identificada,via_nao_identificada","3. Exames Complementares Iniciais (APS) Função hepática (ALT, AST, BT, BD, FA, GGT) - Hemograma, creatinina, ureia - Coagulograma (TP/INR) - Sorologias para HIV, sífilis, hepatite A e D Mesmos exames do HBV - Genotipagem do HCV (se disponív"
850,mantida,"dose_nao_identificada,via_nao_identificada",7. Seguimento Conjunto APS + Infectologia Monitorar adesão ao tratamento e evolução clínica - Reforçar medidas preventivas Monitorar adesão ao tratamento e evolução clínica - Reforçar medidas preventivas HIV/AIDS
851,mantida,,Antifúngico tópico ou sistêmico Se candidíase oral sintomática: Nistatina suspensão oral 100.000 UI/mL
852,fundida_na_linha_anterior,fragmento,: bochechar e engolir 5 mL 4x/dia por 7 a 14 dias
853,mantida,,Fluconazol 150 mg VO 1x/dia por 7 a 14 dias (avaliar gravidade) Vitaminas e suporte nutricional (se perda de peso importante) Polivitamínico VO 1x/dia Encaminhamento para avaliação nutricional (se disponível) Manutenção do esquema TARV Esqu
854,mantida,,"Tenofovir 300 mg + Lamivudina 300 mg + Dolutegravir 50 mg Posologia: 1 comprimido VO, 1x ao dia (esquema combinando em dose única) Importante: reavaliar exames antes da reintrodução formal da TARV em pacientes sintomáticos, e avaliar risco "
855,mantida,,"Tenofovir + Lamivudina + Dolutegravir (TDF/3TC/DTG) – Esquema preferencial TARV Tomar 1 comprimido por via oral, 1x ao dia, em horário fixo Início somente após confirmação diagnóstica + exames iniciais coletados Preservativos masculinos e f"
856,mantida,,"TARV - Início do esquema preferencial em dose fixa combinada (DFC): TDF 300 mg + 3TC 300 mg + DTG 50 mg – 1 comprimido VO 1x/dia, à noite, com ou sem alimentos; Realizado aconselhamento individual: reforço sobre adesão, eficácia da TARV, to"
857,mantida,,"Tenofovir + Lamivudina + Dolutegravir (TDF/3TC/DTG) 1 comprimido VO, 1x ao dia, à noite Uso contínuo e diário Observar possíveis efeitos adversos (náuseas, insônia leve nas primeiras semanas) Linfogranuloma Venéreo (Chlamydia trachomatis, s"
858,mantida,,"HAS em uso contínuo de losartana 50 mg/dia. Nega diagnóstico prévio de tuberculose, diabetes mellitus, cardiopatias ou neoplasias. História ocupacional e social: Trabalhador da construção civil, exposto à inalação de poeira e partículas. Re"
859,mantida,,"Paracetamol 500 mg VO, 1 cp 6/6h se necessário, máximo 4 g/dia. Sistema Tegumentar (pele, anexos e tecido subcutâneo) Abscesso cutâneo"
860,mantida,,"Dipirona 500 mg VO de 6/6h, se dor ou febre."
861,mantida,,Cefalexina 500 mg VO de 6/6h por 7 a 10 dias
862,mantida,,Clindamicina 300 mg VO de 6/6h por 7 a 10 dias (em caso de alergia a penicilinas ou suspeita de MRSA).
863,mantida,"dose_nao_identificada,via_nao_identificada",3. Cuidados locais: Lavagem com água e sabão 2x/dia. Curativo seco com gaze estéril até resolução completa. Atendimento Antirrábico Acidente LEVE CIAP-2: A71 – Exposição ao risco de infecção | CID-10: Z20.3 – Contato com e exposição à raiva
864,mantida,,"Paracetamol 500 mg VO, 1 cp 6/6h se necessário, máximo 4 g/dia. Aftas Orais (Estomatite Aftosa)"
865,mantida,,"2 - Tratamento Tópico Adicional: Triancinolona Acetonida Tópica: Aplicar uma fina camada sobre a lesão, sem esfregar, três vezes ao dia por 7 dias. Gingilone Tópico: Aplicar uma fina camada sobre a lesão, sem esfregar, três vezes ao dia por"
866,mantida,,Cefalexina 500 mg VO 6/6h por 10 dias (total: 40 comprimidos) Alternativa:
867,mantida,,Clindamicina 300 mg VO 6/6h se alergia a betalactâmicos
868,mantida,,"Dipirona 1 g VO 6/6h PRN dor ou febre (>37,8°C) Alternativa:"
869,mantida,,Paracetamol 750 mg VO 6/6h PRN 2. Tratamento Tópico / Adjuvante
870,mantida,,"Neomicina tópica (pomada 20g): aplicar 3x/dia, camada fina sobre área íntegra Compressas mornas:"
871,mantida,,Cefalexina 500 mg VO 6/6h por 10 dias (total: 40 comprimidos) Alternativa:
872,mantida,,Clindamicina 300 mg VO 6/6h se alergia a betalactâmicos
873,mantida,,"Dipirona 1 g VO 6/6h PRN dor ou febre (>37,8°C) Alternativa:"
874,mantida,,Paracetamol 750 mg VO 6/6h PRN 2. Tratamento Tópico / Adjuvante
875,mantida,,"Neomicina tópica (pomada 20g): aplicar 3x/dia, camada fina sobre área íntegra Compressas mornas:"
876,mantida,dose_nao_identificada,"15 minutos, 3-6x/dia Encaminhamento para Urgência Paciente: Idade: Data: Encaminhado para: Motivo: Avaliação e conduta devido a infecção cutânea grave (erisipela bolhosa) Paciente com diagnóstico de erisipela bolhosa em MID, com início súbi"
877,mantida,,"(itraconazol 200 mg/dia por 2–4 semanas) pode ser indicado; fluconazol como alternativa em dose semanal por várias semanas Terapia adjuvante e medidas complementares: Fototerapia UV (ou LED/laser) pode reduzir inflamação e controlar flocos,"
878,mantida,,Hidratante corporal sem fragrância (ex.: base de ureia 5% ou glicerina): aplicar 2x/dia sobre a área afetada. Corticoide tópico de baixa/média potência (ex.: hidrocortisona 1% creme): aplicar fina camada sobre a área afetada 2x/dia por até 
879,mantida,,"(ex.: loratadina 10 mg VO 1x/dia) se prurido intenso, por até 7 dias. Orientações gerais Evitar coçar ou friccionar a pele. Lavar a região apenas com sabonete neutro. Evitar contato com produtos químicos, detergentes e metais até melhora co"
880,mantida,,Clotrimazol Creme 20 mg/g
881,mantida,,Miconazol Creme Dermatológico 20 mg/g -
882,mantida,,Cetoconazol Creme 20 mg/g -
883,mantida,,"Hidratante corporal sem fragrância (ex.: base de ureia 5% ou glicerina): aplicar 2–3x/dia sobre a área afetada, especialmente após o banho. Corticoide tópico de baixa potência (ex.: hidrocortisona 1% creme): aplicar fina camada na lesão 2x/"
884,mantida,,"(ex.: loratadina 10 mg VO 1x/dia) se prurido intenso, por até 7 dias. Orientações gerais Evitar coçar ou friccionar a área. Reduzir tempo e temperatura do banho. Usar roupas de algodão e evitar tecidos sintéticos. Retorno em até 14 dias ou "
885,mantida,,(ex.: loratadina 10 mg VO 1x/dia) por até 7 dias se prurido. Paracetamol
886,mantida,,"500–1000 mg VO: 1 a 2 comprimidos (500 mg cada) a cada 6h se febre ou dor, máximo de 4 g/dia. Hidratante corporal sem fragrância : aplicar 2x/dia nas áreas afetadas. Orientações gerais Evitar banhos quentes e prolongados. Não coçar as lesõe"
887,mantida,dose_nao_identificada,"1. Uso Oral: Ivermectina 200 µg/kg VO em dose única , com alimento; repetir após 7 a 14 dias, conforme avaliação clínica."
888,mantida,,"2. Uso Tópico (Primeira linha): Permetrina 5% creme : aplicar do pescoço para baixo, incluindo áreas interdigitais, genitais e sob as unhas; manter por 8–14 horas antes de lavar; repetir aplicação após 7 dias, mesmo que assintomático."
889,mantida,dose_nao_identificada,"3. Esquema Combinado (casos extensos ou falha terapêutica): Permetrina 5% creme conforme indicado acima + Ivermectina VO nos dias 1, 2 e 8 (avaliar necessidade de doses adicionais nos dias 9 e 15)."
890,mantida,,(ex. Loratadina 10 mg VO 1x/dia). Emolientes ou corticoide tópico leve : aplicar à noite nas áreas afetadas.
891,mantida,,"Higiene local : lavar a área afetada com sabonete antisséptico (ex.: clorexidina degermante 2%) 2x/dia. Compressas mornas : aplicar na lesão por 15 minutos, 3–4x/dia. Pomada antibiótica tópica (ex.: mupirocina 2%): aplicar fina camada na le"
892,mantida,,"(casos múltiplos, recorrentes ou com celulite associada): cefalexina 500 mg VO a cada 6h por 7–10 dias; considerar alternativa conforme alergias ou padrão local de resistência. Analgésico"
893,fundida_na_linha_anterior,fragmento,": paracetamol 500–1000 mg VO a cada 6h se dor, máximo de 4 g/dia. Retorno : em até 48–72h para reavaliação ou antes se houver piora. Impetigo"
894,mantida,,"Cefalexina 500 mg : 1 comprimido VO de 6/6h, por 7 dias. Prescrição para uso tópico Mupirocina 2% Pomada : Aplicar diretamente sobre as lesões, 2 vezes ao dia, até melhora das mesmas. Larva migrans cutânea (bicho geográfico) CIAP-2: S74 – I"
895,mantida,,Tiabendazol creme 5% : aplicar três vezes ao dia por 10 dias.
896,mantida,,"Albendazol 400 mg VO : uma vez ao dia, durante 3 dias ( contraindicado em gestantes Se houver muitas lesões: Tiabendazol VO"
897,mantida,via_nao_identificada,"25 mg/kg de peso corporal, duas vezes ao dia, durante 5 dias. Miíase ( Dermatobia hominis – berne) CIAP-2: S73 – Infestação por insetos e outros artrópodes | CID-10: B87.0 – Miíase cutânea"
898,mantida,,"Remoção da Larva: Preparação da Oclusão: Aplique vaselina, parafina líquida, esmalte de unha ou fita adesiva sobre o orifício da pele para criar uma oclusão. Mantenha a oclusão por 24 horas para forçar a larva a se aproximar da superfície p"
899,mantida,,"Clotrimazol creme 1% : aplicar fina camada sobre a lesão e 2 cm além das bordas, 2x/dia, por 14–21 dias (mesmo após desaparecimento das lesões). Higienização : lavar a região afetada com sabonete neutro, secar bem antes da aplicação do medi"
900,mantida,,"terbinafina VO 250 mg 1x/dia por 14 dias (avaliar função hepática antes). Orientações gerais Evitar roupas apertadas e tecidos sintéticos. Trocar roupas íntimas e meias diariamente. Manter pele seca, especialmente em áreas de dobra. Retorno"
901,mantida,,"Ivermectina 6 mg: Tomar 1/2 comprimido (3 mg) via oral uma vez ao dia, em dose única. Uso Tópico: Deltametrina Shampoo Aplicar o shampoo e friccionar levemente. Manter a espuma sem enxaguar por 10 minutos. Em seguida, enxaguar bem. Repetiçã"
902,mantida,,(ex.: loratadina 10 mg VO 1x/dia) por até 5–7 dias se prurido. Analgésico
903,fundida_na_linha_anterior,fragmento,": paracetamol 500–1000 mg VO a cada 6h se dor, máximo de 4 g/dia. Pomada de corticosteroide leve (ex.: hidrocortisona 1% creme): aplicar fina camada sobre a lesão 2x/dia por até 5 dias. Compressas frias : aplicar por 15 minutos, 3–4x/dia. Se ferrão visível : remover imediatamente com lâmina/cartão rígido, evitar pinçar. Retorno em até 48h se não houver melhora ou antes se surgirem sinais de infecção ou reação sistêmica. Pitiríase versicolor (pano branco) CIAP2: B89 – Alteração cutânea difusa por fungo | CID-10: B37.0 – Pitiríase versicolor"
904,mantida,,"Clotrimazol 1% OU Miconazol creme dermatológico: aplicar em todo o pescoço, tronco, braços e pernas 2x/dia por 2 semanas. Cetoconazol Shampoo: aplicar em todo o corpo após fazer espuma lavando os cabelos, deixar agir por 5 minutos antes de "
905,mantida,,Itraconazol 200 mg VO 1x/dia por 7 dias
906,mantida,,Fluconazol 300 mg VO 1x/semana por 2–4 semanas. Piodermite CIAP-2: S84 – Infecção bacteriana da pele | CID-10: L08.0 – Piodermite não especificada
907,mantida,,"Pomada de mupirocina 2% : aplicar fina camada sobre as lesões 3x/dia por 7–10 dias. Higienização local : lavar as áreas afetadas com sabonete antisséptico (ex.: clorexidina degermante 2%) 2x/dia, secar bem antes da aplicação da pomada. Anti"
908,mantida,,(casos múltiplos/extensos): cefalexina 500 mg VO a cada 6h por 7 dias (avaliar alergia a betalactâmicos). Analgésico
909,fundida_na_linha_anterior,fragmento,": paracetamol 500–1000 mg VO a cada 6h se dor, máximo de 4 g/dia. Retorno em até 72h para reavaliação clínica ou antes se houver piora. Queimaduras de 1º grau (solar ou térmica) CIAP-2: S14 – Queimadura/escaldadura | CID-10: T30.0 – Queimadura de área corporal não especificada, grau I"
910,fundida_na_linha_anterior,fragmento,": paracetamol 500–1000 mg VO a cada 6h se dor, máximo de 4 g/dia. Protetor solar FPS ≥ 30 : aplicar após cicatrização completa, especialmente em queimaduras solares, para evitar hiperpigmentação. Evitar uso de manteiga, pasta de dente ou substâncias caseiras sobre a queimadura. Retorno em até 72h se não houver melhora ou antes se houver piora. Queimaduras de 2º grau superficiais"
911,mantida,,Paracetamol 750 mg VO 6/6h se dor
912,mantida,conduta_sem_medicamento,", máximo de 4 g/dia; Petrolato: aplicar sobre a lesão e manter curativo limpo e seco; Hidratante tópico neutro (vaselina branca ou creme com aloe vera), aplicar 3x/dia após limpeza local; Compressas frias se dor intensa nas primeiras 24–48h"
913,mantida,,"Tiabendazol 25 mg/kg , via oral, uma vez ao dia, durante 10 dias, para erradicação do parasita e controle da infecção Urticária aguda / reação alérgica cutânea (sem anafilaxia)"
914,mantida,,"Cetirizina 10 mg, via oral, 1 comprimido à noite, por 5 a 7 dias."
915,mantida,via_nao_identificada,"Em casos de prurido persistente, pode-se considerar aumento da dose até 10 mg a cada 12 horas, conforme tolerância."
916,mantida,,"Prednisona 20 mg, via oral, 1 comprimido ao dia, pela manhã, por 5 dias. Indicado em casos de urticária extensa, refratária ao anti-histamínico ou com sintomatologia intensa; Compressas frias, aplicar sobre as áreas com prurido 3 a 4 vezes "
917,mantida,via_nao_identificada,Ambroxol 6 mg/ml:
918,mantida,,"5 ml por via oral, 3 vezes ao dia. Anti-histamínico:"
919,mantida,via_nao_identificada,Loratadina 10 mg:
920,mantida,,1 comprimido por via oral ao dia. Dor/Febre:
921,mantida,via_nao_identificada,Paracetamol 750-1.000 mg:
922,mantida,,"1 comprimido por via oral, a cada 6 horas, por até 5 dias."
923,mantida,via_nao_identificada,Dipirona 500-1.000 mg:
924,mantida,via_nao_identificada,Ibuprofeno 400-800 mg:
925,mantida,,"1 comprimido por via oral, a cada 6 horas. Uso Intranasal:"
926,mantida,via_nao_identificada,Seringa de 10 ml:
927,mantida,dose_nao_identificada,"01 unidade Solução Fisiológica 0,9%: 01 frasco Aspirar o soro com a seringa, retirar a agulha e injetar em cada narina (sem tapar a outra), estando com a boca aberta, três vezes ao dia. É normal engolir ou a secreção sair pelo outro lado. V"
928,mantida,,"500 mg (genérico) ou Amoxil® Posologia: 1 cápsula VO a cada 8 horas Duração: 7 a 10 dias >>> Alternativa em caso de falha terapêutica, quadro mais grave ou risco de resistência Amoxicilina + Clavulanato"
929,mantida,,875/125 mg (genérico) ou Augmentin® Posologia: 1 comprimido VO a cada 12 horas por 7 dias Paracetamol
930,mantida,,500–750 mg (genérico) ou Tylenol®:
931,mantida,,"1 comprimido VO a cada 6–8 horas, se dor ou febre"
932,mantida,via_nao_identificada,"Dose máxima: 4 g/dia Duração: conforme necessidade, até melhora Ibuprofeno"
933,mantida,via_nao_identificada,400 mg (genérico) ou Advil® / Motrin®:
934,mantida,,"1 comprimido VO a cada 8 horas, se dor persistente Duração: até 5 dias Observações: evitar em gestantes no 3º trimestre, pacientes com úlcera péptica ou insuficiência renal Soro fisiológico 0,9%"
935,mantida,via_nao_identificada,(frasco 500 mL) +
936,mantida,via_nao_identificada,seringa 10 mL sem agulha
937,mantida,,"Posologia: irrigar cada narina com 5–10 mL, 3–4 vezes ao dia, até melhora dos sintomas Faringite/amigdalite viral"
938,mantida,,"Penicilina V 500 mg VO, 8/8h por 10 dias;"
939,mantida,,"Amoxicilina 875 mg VO, 12/12h por 10 dias; Alergia à penicilina:"
940,mantida,,"Azitromicina 500 mg VO, 1x/dia por 5 dias. Analgésicos e antipiréticos:"
941,mantida,,"Paracetamol 750 mg VO, 6/6h se febre ou dor, por até 5 dias;"
942,mantida,,"Dipirona 1.000 mg VO, 6/6h se necessário;"
943,mantida,,"Ibuprofeno 600 mg VO, 8/8h, por até 5 dias se sem contraindicação."
944,mantida,,"Paracetamol 750 mg - 1 g: Tomar 1 comprimido por via oral a cada 6 horas, por até 5 dias."
945,mantida,,"Dipirona 500 mg - 1 g: Tomar 1 comprimido por via oral a cada 6 horas, por até 5 dias."
946,mantida,,Ibuprofeno 400-800 mg: Tomar 1 comprimido por via oral a cada 6 horas. Amigdalite bacteriana não complicada CIAP2: R76 – Amigdalite aguda | CID-10: J03.0 – Amigdalite estreptocócica aguda
947,mantida,,"Penicilina Benzatina 1.200.000 UI: 1 dose IM, dose única. OU"
948,mantida,,"Amoxicilina 500 mg: 1 comprimido VO a cada 8h, por 10 dias. OU"
949,mantida,,"Azitromicina 500 mg: 1 comprimido VO a cada 24h, por 5 dias. OU"
950,mantida,,"Cefalexina 500 mg: 1 comprimido VO a cada 6h, por 10 dias. Se Falha Terapêutica ou Recorrência:"
951,mantida,,"Amoxicilina + Clavulanato de Potássio (500 mg + 125 mg): 1 comprimido VO a cada 8h, por 10 dias. Controle da Dor e Febre:"
952,mantida,,"Paracetamol 500 mg a 1 g: 1 comprimido VO a cada 4-6h, conforme necessidade."
953,mantida,,"Ibuprofeno 400-600 mg: 1 comprimido VO a cada 6-8h, conforme necessidade. Laringite aguda (viral)"
954,mantida,,"500 mg (genérico) ou Tylenol® Posologia: 1 a 1½ comprimido VO a cada 6–8 horas, se dor ou febre"
955,mantida,via_nao_identificada,Dose máxima: 4 g/dia | Duração: até melhora dos sintomas (máx. 7 dias) Ibuprofeno
956,mantida,,"400 mg (genérico) ou Advil® / Motrin® Posologia: 1 comprimido VO a cada 8 horas, se dor persistente Duração: até 5 dias | * Observações: evitar em gestantes no 3º trimestre, pacientes com história de úlcera péptica ou insuficiência renal So"
957,mantida,via_nao_identificada,(frasco 500 mL) +
958,mantida,via_nao_identificada,seringa de 10 mL sem agulha
959,mantida,,"Posologia: irrigar cada narina com 5 mL, 3 vezes ao dia, conforme necessidade Sinusite"
960,mantida,,"Lavar as narinas com 20 mL de soro, 4 vezes ao dia. Uso Oral:"
961,mantida,,"Prednisona 20 mg (10 comprimidos) Tomar 2 comprimidos por via oral, de manhã, por 5 dias."
962,mantida,via_nao_identificada,Amoxicilina 500 mg + Clavulanato de Potássio 125 mg (
963,mantida,,"21 comprimidos) Tomar 1 comprimido por via oral a cada 8 horas, por 7 dias. Tratamento Medicamentoso Alternativo:"
964,mantida,,"Amoxicilina 500 mg (30 comprimidos) Tomar comprimido por via oral a cada 8 horas, por 10 dias."
965,mantida,via_nao_identificada,Sulfametoxazol + Trimetoprima (400 mg + 80 mg) (
966,mantida,,"20 comprimidos) Tomar 2 comprimidos por via oral a cada 12 horas, por 10 dias."
